Numero_Securite_Sociale,Nom,Prenom,Date_Naissance,Numero_Telephone,E_Mail,ID_Remboursement,Code_Soin,Montant_Remboursement
2450133457847,Yann,Gilbert,22/03/1957,0486551459,Yann.Gilbert@gmail.com,30,H9,5.53
1040963841296,René,Claude,14/09/1906,0172919489,René.Claude@gmail.com,88,A7,4.5
2860121514940,Maxime,Vincent,21/01/1937,0929272712,Maxime.Vincent@gmail.com,9,I6,5.2700000000000005
1160236111026,David,François,19/11/2022,0265047507,David.François@gmail.com,93,B1,2.5100000000000002
1210189214751,François,Jacques,09/01/1961,0748589708,François.Jacques@gmail.com,75,B8,7.6000000000000005
2430213321302,Maxime,Armand,05/06/1955,0752201415,Maxime.Armand@gmail.com,91,F3,9.63
2070981261287,Armand,Hubert,05/10/1991,0283260672,Armand.Hubert@gmail.com,70,I8,8.14
2130356472824,Maxime,Christophe,04/01/1951,0446785195,Maxime.Christophe@gmail.com,28,H6,0.8300000000000001
2971168231595,André,François,01/06/1994,0417159920,André.François@gmail.com,63,F8,5.0
1741068486294,Romain,Cédric,24/06/1905,0622381656,Romain.Cédric@gmail.com,2,G8,2.05
1140580702780,Benjamin,Paul,14/06/1982,0369472780,Benjamin.Paul@gmail.com,63,I1,4.86
1440640204139,Alfred,Henri,05/04/2020,0146846946,Alfred.Henri@gmail.com,67,F7,9.53
2080722359295,Raoul,Philippe,26/01/1964,0762679430,Raoul.Philippe@gmail.com,17,L2,0.53
2151298131074,Auguste,Raoul,15/10/1972,0324680460,Auguste.Raoul@gmail.com,90,B4,6.3100000000000005
1060296915578,Sébastien,Philippe,08/08/1910,0635993669,Sébastien.Philippe@gmail.com,16,E1,0.31
2100405538515,Philippe,Patrick,10/03/2018,0220848991,Philippe.Patrick@gmail.com,50,I2,2.84
2190197299805,Yann,Olivier,19/06/1973,0796506309,Yann.Olivier@gmail.com,85,E7,0.17
1041295417423,Laurent,Olivier,21/10/1901,0657062185,Laurent.Olivier@gmail.com,24,C8,8.86
1691106637647,Emmanuel,François,13/04/2012,0797509375,Emmanuel.François@gmail.com,97,I7,0.15
2100387772541,Patrice,Nicolas,08/01/1936,0578016689,Patrice.Nicolas@gmail.com,34,D7,4.76
1111072211034,David,Emmanuel,04/03/2005,0334326747,David.Emmanuel@gmail.com,42,I3,9.91
1220972219067,Paul,Arnaud,19/08/2004,0977266542,Paul.Arnaud@gmail.com,64,E2,9.3
2830115277081,Lucie,Albert,24/09/2016,0732430425,Lucie.Albert@gmail.com,51,A8,1.62
1760652093839,Alain,Hervé,24/09/1952,0818915192,Alain.Hervé@gmail.com,23,A2,3.06
1890865368381,Mathieu,Olivier,03/03/2015,0653691025,Mathieu.Olivier@gmail.com,94,H5,4.0200000000000005
2970215333993,David,Olivier,18/08/1931,0171080869,David.Olivier@gmail.com,68,H9,6.7700000000000005
1880911179848,Patrice,Albert,24/10/1957,0621057064,Patrice.Albert@gmail.com,86,C8,8.81
2070463437296,Patrice,Michel,16/11/1972,0860423046,Patrice.Michel@gmail.com,65,E7,7.49
1030742618528,Gabriel,Pierre,26/07/1953,0987782231,Gabriel.Pierre@gmail.com,55,E5,8.86
1621150487814,Laurent,Jean-Luc,06/04/1909,0166427355,Laurent.Jean-Luc@gmail.com,55,G7,1.01
1130589195061,Jacques,Pierre,17/07/1902,0781905822,Jacques.Pierre@gmail.com,80,N5,5.5200000000000005
2850782619818,Marc,Maxime,06/10/1935,0317366162,Marc.Maxime@gmail.com,85,E9,4.8
1111172414714,Xavier,Jean-Luc,11/11/2014,0214615145,Xavier.Jean-Luc@gmail.com,11,B8,1.55
2151033887630,Pascal,Gabriel,18/12/2021,0360930566,Pascal.Gabriel@gmail.com,80,B6,3.97
2611172677167,Emmanuel,Philippe,16/04/1903,0681048853,Emmanuel.Philippe@gmail.com,68,L4,5.95
1151176878861,Louis,François,06/09/1951,0351742313,Louis.François@gmail.com,24,G7,8.27
2360402805867,Georges,Alain,23/01/1929,0225005648,Georges.Alain@gmail.com,27,D1,9.9
1561063437011,Frédéric,Laurent,13/06/2013,0998465245,Frédéric.Laurent@gmail.com,98,B6,4.23
1310710604945,Lucien,Marius,02/01/1906,0563006018,Lucien.Marius@gmail.com,46,F5,9.67
2170793177354,Marcel,Laurent,23/09/1992,0224413856,Marcel.Laurent@gmail.com,28,A5,1.48
1020630341335,Jean,Jérôme,03/03/1998,0871347169,Jean.Jérôme@gmail.com,88,E9,9.01
1430135850024,Grégory,Bernard,22/10/1957,0647649049,Grégory.Bernard@gmail.com,54,F5,2.27
1970471487017,Sébastien,Maxime,25/12/1971,0238354078,Sébastien.Maxime@gmail.com,65,B9,1.01
2000353456121,Charles,Claude,25/04/1918,0925803490,Charles.Claude@gmail.com,11,F2,0.9400000000000001
1781179013333,Sébastien,Pierre,26/11/1979,0415335943,Sébastien.Pierre@gmail.com,23,B3,5.94
2160161893503,Nicolas,Pierre,19/03/1931,0919105171,Nicolas.Pierre@gmail.com,77,I8,3.36
2790892067902,Patrice,Benoît,02/02/1953,0346284297,Patrice.Benoît@gmail.com,32,D1,2.19
1391239084542,Philippe,Christian,13/07/1967,0434892471,Philippe.Christian@gmail.com,94,J9,8.07
1510559649238,Cyril,Grégory,05/10/1932,0374315475,Cyril.Grégory@gmail.com,42,K7,2.16
2690783122396,Patrice,Jean,07/03/1996,0395914027,Patrice.Jean@gmail.com,25,B2,6.16
2080169645790,Alexandre,Marcel,11/02/1968,0335432950,Alexandre.Marcel@gmail.com,38,A3,5.5600000000000005
1760652864602,Bertrand,Sophie,20/12/1978,0394488424,Bertrand.Sophie@gmail.com,48,D1,9.450000000000001
2590211773780,Patrick,Fernand,03/09/2012,0895460500,Patrick.Fernand@gmail.com,72,C8,8.64
1770531468412,Hervé,Marc,06/09/1984,0326410447,Hervé.Marc@gmail.com,97,D1,4.64
1910568459174,Claude,Grégory,05/04/1968,0660302567,Claude.Grégory@gmail.com,10,M2,7.140000000000001
1340155300717,Étienne,Émile,05/11/1923,0731421082,Étienne.Émile@gmail.com,72,J9,7.63
2161053783502,David,Arnaud,12/10/2015,0219690114,David.Arnaud@gmail.com,68,A6,3.74
1220479572500,Michel,Noël,24/11/1910,0491509513,Michel.Noël@gmail.com,60,M3,8.0
2120486204872,Hervé,Jérôme,15/06/1949,0632776960,Hervé.Jérôme@gmail.com,13,J2,6.25
2011086687453,Sébastien,Laurent,21/03/1968,0880879778,Sébastien.Laurent@gmail.com,73,N3,4.11
1681296650070,Bertrand,Charles,14/05/1902,0892828655,Bertrand.Charles@gmail.com,17,J5,0.72
2351077198190,Pierre,Bernard,07/04/1913,0622668545,Pierre.Bernard@gmail.com,84,J3,4.18
2851185666149,Paul,Sébastien,02/05/2019,0759366228,Paul.Sébastien@gmail.com,100,B4,3.66
1000851413774,Bertrand,Paul,26/09/2011,0951821735,Bertrand.Paul@gmail.com,26,L1,0.05
2071269866241,David,Yann,12/11/1922,0654313263,David.Yann@gmail.com,22,H3,9.790000000000001
2190183567897,Jérôme,Nicolas,09/06/1909,0851183890,Jérôme.Nicolas@gmail.com,92,A6,1.37
1100208763505,Maxime,Gustave,19/11/1933,0138704155,Maxime.Gustave@gmail.com,91,M3,4.33
2180901931281,Nicolas,Raoul,04/10/1993,0126808452,Nicolas.Raoul@gmail.com,67,A3,4.51
2400993209214,Éric,Fernand,17/02/1909,0270134532,Éric.Fernand@gmail.com,32,E7,4.68
2990988237812,Noël,Pascal,27/01/2000,0282376094,Noël.Pascal@gmail.com,39,A4,0.15
1200556820773,Laurent,Alain,11/09/1921,0126695792,Laurent.Alain@gmail.com,100,H7,0.6
1170573923359,Frédéric,Xavier,01/10/1968,0512924072,Frédéric.Xavier@gmail.com,11,L9,9.3
2420305528752,Christian,Pascal,07/07/1940,0515902048,Christian.Pascal@gmail.com,56,H5,9.27
1021015748732,Raoul,Étienne,08/06/1907,0674788195,Raoul.Étienne@gmail.com,60,M2,1.86
2830127534511,Emmanuel,Benjamin,21/11/1930,0850271099,Emmanuel.Benjamin@gmail.com,12,A8,2.69
2310896131051,Jean,Vincent,24/02/1960,0124061957,Jean.Vincent@gmail.com,16,B2,0.6900000000000001
1700518532550,Jacques,Gilbert,04/05/1967,0938283614,Jacques.Gilbert@gmail.com,53,N6,2.65
1810424179808,Thierry,Fabien,16/12/2020,0113845821,Thierry.Fabien@gmail.com,14,N5,0.05
2590498124821,Jacques,Jean-Michel,12/07/1968,0642505569,Jacques.Jean-Michel@gmail.com,7,F8,9.72
1061064749057,Benjamin,Guillaume,03/03/1979,0140159157,Benjamin.Guillaume@gmail.com,53,M4,8.97
1790855402528,René,Frédéric,26/06/1945,0378909926,René.Frédéric@gmail.com,82,L3,4.14
2020210635640,Lucie,Gérard,22/05/1930,0748883639,Lucie.Gérard@gmail.com,53,K9,1.59
1400896784183,Pierre,Marc,16/03/1950,0255585307,Pierre.Marc@gmail.com,63,F9,5.94
1950860635162,Vincent,Étienne,09/01/2004,0153572336,Vincent.Étienne@gmail.com,71,B9,8.97
1920597502834,Damien,Nicolas,12/09/2015,0122057736,Damien.Nicolas@gmail.com,41,E2,1.7
